indice,var1,var2,w
0,0.0,374.0,22.60622429581476
1,1.0,374.0,22.819142620153045
2,2.0,374.0,22.705075509257536
3,3.0,374.0,22.76977570428333
4,4.0,374.0,22.645869271510893
5,4.0,375.0,22.922083124708983
6,5.0,375.0,22.723596126798967
7,6.0,375.0,22.84329055874249
8,7.0,375.0,22.792791082716324
9,8.0,375.0,22.81092659279993
10,9.0,375.0,22.89057461152848
11,9.0,374.0,22.796954444002004
12,10.0,374.0,22.58269104194904
13,10.0,373.0,22.55630951980044
14,11.0,373.0,22.743762878277945
15,12.0,373.0,22.72182453460608
16,12.0,372.0,22.64371428276145
17,13.0,372.0,22.63071727440755
18,14.0,372.0,22.78513207546018
19,15.0,372.0,22.67408314574056
20,16.0,372.0,22.667132994082184
21,17.0,372.0,22.57346417896265
22,17.0,371.0,22.774397050575057
23,18.0,371.0,22.689738882560203
24,19.0,371.0,22.704515982361524
25,19.0,370.0,22.53734791985938
26,20.0,370.0,22.73257950868032
27,21.0,370.0,22.53817011882233
28,21.0,369.0,22.60830064820933
29,22.0,369.0,22.49775409148529
30,23.0,369.0,22.51763674835164
31,23.0,368.0,22.629736533092608
32,23.0,367.0,22.42001440313216
33,24.0,367.0,22.639817395649843
34,25.0,367.0,22.650138847385183
35,26.0,367.0,22.55126681587835
36,27.0,367.0,22.69855981599345
37,28.0,367.0,22.505295210630123
38,28.0,366.0,22.62998040682844
39,29.0,366.0,22.486660590390084
40,30.0,366.0,22.66139271735932
41,31.0,366.0,22.520045407188235
42,32.0,366.0,22.537231459310004
43,32.0,365.0,22.62462167353144
44,32.0,364.0,22.403313663903607
45,33.0,364.0,22.47950435111795
46,34.0,364.0,22.44974662831233
47,35.0,364.0,22.48261439687065
48,36.0,364.0,22.482531897314825
49,37.0,364.0,22.46906113218392
50,38.0,364.0,22.409778057053234
51,39.0,364.0,22.36133253996259
52,40.0,364.0,22.482803899141025
53,41.0,364.0,22.54820470077565
54,42.0,364.0,22.64958969080921
55,43.0,364.0,22.48337495510873
56,43.0,365.0,22.769474089526216
57,44.0,365.0,22.341739783001856
58,45.0,365.0,22.482394246436705
59,46.0,365.0,22.47928879735418
60,47.0,365.0,22.63869048771776
61,48.0,365.0,22.45801446394961
62,48.0,364.0,22.470193280455
63,49.0,364.0,22.52155834866256
64,50.0,364.0,22.50279275666944
65,51.0,364.0,22.426436814583223
66,52.0,364.0,22.50782469266884
67,53.0,364.0,22.59153228709097
68,54.0,364.0,22.46092419232778
69,55.0,364.0,22.343967315933043
70,56.0,364.0,22.381180100260845
71,57.0,364.0,22.38825407280555
72,57.0,365.0,22.561885527628043
73,58.0,365.0,22.40831537327293
74,59.0,365.0,22.457392059923244
75,60.0,365.0,22.466025406121883
76,61.0,365.0,22.48351637632004
77,62.0,365.0,22.58796447795076
78,63.0,365.0,22.48622976750056
79,64.0,365.0,22.41648655434821
80,65.0,365.0,22.51459320359984
81,66.0,365.0,22.64519309149558
82,67.0,365.0,22.50113442539233
83,68.0,365.0,22.37397079123216
84,68.0,364.0,22.468940130436955
85,68.0,363.0,22.29735721848888
86,69.0,363.0,22.36662973702019
87,70.0,363.0,22.43484232841244
88,71.0,363.0,22.3518973661836
89,72.0,363.0,22.31379484220004
90,72.0,362.0,22.51034117168533
91,73.0,362.0,22.43252101731632
92,74.0,362.0,22.344060020501644
93,74.0,361.0,22.37648594054744
94,75.0,361.0,22.423383308904377
95,76.0,361.0,22.406476232627764
96,77.0,361.0,22.21421767748672
97,78.0,361.0,22.18385509314004
98,78.0,360.0,22.426686260075943
99,79.0,360.0,22.2815652528602
100,80.0,360.0,22.38898181209771
101,81.0,360.0,22.280528351700056
102,82.0,360.0,22.24548813903284
103,82.0,361.0,22.248451079582704
104,83.0,361.0,22.25549168431898
105,84.0,361.0,22.275447483021576
106,85.0,361.0,22.26651116094024
107,86.0,361.0,22.34806190117654
108,87.0,361.0,22.59053331541393
109,87.0,360.0,22.30652387388097
110,88.0,360.0,22.29659361788253
111,89.0,360.0,22.483971961348345
112,90.0,360.0,22.40916526359872
113,91.0,360.0,22.27174265677515
114,91.0,359.0,22.240743453767536
115,92.0,359.0,22.10909956039876
116,92.0,358.0,22.24466663345404
117,93.0,358.0,22.301670508032235
118,93.0,357.0,22.19884118519189
119,94.0,357.0,22.27153333490564
120,95.0,357.0,22.2280597468884
121,96.0,357.0,22.29211336118689
122,96.0,356.0,22.128632256277854
123,97.0,356.0,22.2763413691842
124,98.0,356.0,22.210518186065134
125,98.0,355.0,22.36659346803569
126,99.0,355.0,22.373205068480125
127,100.0,355.0,22.22808886259968
128,101.0,355.0,22.287411838154664
129,102.0,355.0,22.260730178168053
130,103.0,355.0,22.306659347301245
131,103.0,354.0,22.183921883867296
132,104.0,354.0,22.22190189409959
133,105.0,354.0,22.22710455357989
134,106.0,354.0,22.11319677695408
135,106.0,353.0,22.21517192658064
136,107.0,353.0,22.25589748438082
137,108.0,353.0,22.01320154750864
138,108.0,352.0,22.22042733260796
139,108.0,351.0,22.11691092650668
140,109.0,351.0,22.18658158797384
141,110.0,351.0,22.0716089536506
142,111.0,351.0,22.18932614365524
143,111.0,350.0,22.02239674254797
144,112.0,350.0,22.094126288346093
145,112.0,349.0,22.17029920447157
146,113.0,349.0,22.043746376151013
147,114.0,349.0,22.114675034468185
148,115.0,349.0,22.142880523430662
149,116.0,349.0,22.075798216292664
150,117.0,349.0,22.04834947910925
151,117.0,348.0,22.2067674656486
152,118.0,348.0,22.19721499361837
153,119.0,348.0,22.093562211384928
154,120.0,348.0,22.00034807465624
155,120.0,349.0,22.056312968182183
156,121.0,349.0,22.071173286809373
157,122.0,349.0,21.98242101987637
158,122.0,348.0,21.916453278051147
159,123.0,348.0,22.19206162651108
160,124.0,348.0,22.00073617748524
161,125.0,348.0,22.11500704226727
162,126.0,348.0,22.095626746600125
163,127.0,348.0,22.096971651536983
164,128.0,348.0,21.99518944339979
165,128.0,347.0,21.97280988076767
166,128.0,346.0,22.123569666463247
167,129.0,346.0,22.02641596794536
168,129.0,345.0,21.938474796174024
169,130.0,345.0,21.867448024264338
170,131.0,345.0,22.03124534159033
171,131.0,344.0,21.92782955033051
172,132.0,344.0,21.926375143750395
173,133.0,344.0,21.85876913641248
174,134.0,344.0,22.05016157120337
175,135.0,344.0,22.023228508184623
176,135.0,343.0,21.9341694519892
177,136.0,343.0,21.92775976595715
178,137.0,343.0,21.89898406413591
179,137.0,342.0,21.981503610235688
180,138.0,342.0,21.996597805248623
181,139.0,342.0,21.940426098801893
182,139.0,341.0,21.92862260517274
183,140.0,341.0,22.05661012879316
184,140.0,340.0,22.040447050296653
185,141.0,340.0,22.074677804119148
186,142.0,340.0,21.86846996406712
187,143.0,340.0,21.98226032424799
188,143.0,339.0,21.93629884131963
189,143.0,338.0,21.852516066625952
190,144.0,338.0,21.8629909052658
191,145.0,338.0,21.88357745996505
192,146.0,338.0,21.946701322686344
193,147.0,338.0,21.81811836143768
194,148.0,338.0,21.918534520547382
195,149.0,338.0,21.845218014445475
196,150.0,338.0,21.90384390962893
197,150.0,337.0,21.840708383140026
198,151.0,337.0,21.89289410663084
199,152.0,337.0,21.90327509854976
200,152.0,336.0,21.762961804650256
201,153.0,336.0,21.82125371564715
202,153.0,335.0,21.84050511901971
203,154.0,335.0,21.841598682437304
204,155.0,335.0,21.831893648337008
205,155.0,334.0,21.79329418972853
206,156.0,334.0,21.80808976578744
207,157.0,334.0,21.79567963092849
208,158.0,334.0,21.908836603878488
209,158.0,333.0,21.708265258755286
210,159.0,333.0,21.70773885377706
211,160.0,333.0,21.8724011153942
212,161.0,333.0,21.874582063248123
213,161.0,332.0,21.824158759307288
214,162.0,332.0,21.76846525499652
215,163.0,332.0,21.8679227181102
216,163.0,331.0,21.720973317299045
217,164.0,331.0,21.90570963178417
218,165.0,331.0,21.800688674008004
219,165.0,330.0,21.695641872240323
220,166.0,330.0,21.64773203828331
221,167.0,330.0,21.62469146779066
222,168.0,330.0,21.75718417721425
223,169.0,330.0,21.774693251791607
224,169.0,329.0,21.81602080519914
225,170.0,329.0,21.830592040093308
226,171.0,329.0,21.614566599593747
227,172.0,329.0,21.86802246920668
228,173.0,329.0,21.65352296590654
229,174.0,329.0,21.61633236607936
230,175.0,329.0,21.77630500720876
231,176.0,329.0,21.739765066237847
232,177.0,329.0,21.76265561208692
233,178.0,329.0,21.667154409184764
234,179.0,329.0,21.917847568311384
235,180.0,329.0,21.73012315432708
236,181.0,329.0,21.54927394467571
237,182.0,329.0,21.63419230008597
238,183.0,329.0,21.63510006937424
239,183.0,328.0,21.615151527661546
240,184.0,328.0,21.66209962885373
241,185.0,328.0,21.71494520263745
242,186.0,328.0,21.788947573664405
243,187.0,328.0,21.82764202225716
244,188.0,328.0,21.681145255696244
245,188.0,329.0,21.564347788859617
246,189.0,329.0,21.73084888673396
247,190.0,329.0,21.689259900845524
248,191.0,329.0,21.67892257447638
249,192.0,329.0,21.60655646551304
250,193.0,329.0,21.77471967168493
251,194.0,329.0,21.66109597790712
252,194.0,330.0,21.74336259452537
253,195.0,330.0,21.65425764940942
254,196.0,330.0,21.644553188496825
255,197.0,330.0,21.693447882438505
256,197.0,329.0,21.59853624860653
257,198.0,329.0,21.79758640354517
258,199.0,329.0,21.723754476020883
259,200.0,329.0,21.617041527015715
260,201.0,329.0,21.646747689026643
261,201.0,328.0,21.800426504533096
262,202.0,328.0,21.70932307318511
263,203.0,328.0,21.512340129174788
264,203.0,327.0,21.698366101060923
265,204.0,327.0,21.591441123132803
266,205.0,327.0,21.682874788039403
267,206.0,327.0,21.70991463263301
268,206.0,326.0,21.61864598265601
269,207.0,326.0,21.61765230224348
270,207.0,325.0,21.61215070323233
271,208.0,325.0,21.82132718374517
272,208.0,324.0,21.52992997134404
273,209.0,324.0,21.5193341443658
274,210.0,324.0,21.625648790995164
275,211.0,324.0,21.50157970562556
276,212.0,324.0,21.76409178937117
277,212.0,323.0,21.54708892432809
278,213.0,323.0,21.58819057419083
279,214.0,323.0,21.603258162452573
280,215.0,323.0,21.531121151027406
281,216.0,323.0,21.57491209071293
282,217.0,323.0,21.558276577445056
283,218.0,323.0,21.479617933571003
284,219.0,323.0,21.47706984879769
285,220.0,323.0,21.689721988074933
286,220.0,322.0,21.488938142413737
287,221.0,322.0,21.573932142521617
288,222.0,322.0,21.526319529410863
289,223.0,322.0,21.54888050891612
290,224.0,322.0,21.64050941248741
291,224.0,321.0,21.63978487484176
292,225.0,321.0,21.57604232008381
